iter	Passed	Remaining
0	25	12924
1	45	11446
2	67	11219
3	87	10866
4	108	10721
5	127	10464
6	146	10347
7	166	10214
8	184	10066
9	202	9926
10	220	9787
11	236	9636
12	274	10264
13	296	10279
14	313	10147
15	332	10053
16	350	9960
17	368	9866
18	386	9790
19	405	9737
20	422	9633
21	440	9566
22	459	9520
23	475	9426
24	497	9454
25	516	9410
26	534	9358
27	553	9323
28	572	9301
29	591	9272
30	610	9237
31	628	9186
32	645	9140
33	664	9110
34	683	9079
35	701	9047
36	720	9021
37	740	8998
38	752	8895
39	770	8865
40	791	8861
41	809	8827
42	828	8805
43	844	8753
44	863	8726
45	882	8706
46	898	8663
47	911	8584
48	924	8507
49	944	8501
50	963	8484
51	984	8480
52	999	8429
53	1019	8417
54	1038	8401
55	1057	8385
56	1076	8365
57	1096	8354
58	1116	8348
59	1136	8337
60	1157	8332
61	1173	8289
62	1195	8295
63	1218	8304
64	1243	8321
65	1269	8347
66	1296	8379
67	1323	8406
68	1350	8438
69	1379	8471
70	1405	8494
71	1434	8525
72	1459	8538
73	1485	8553
74	1509	8553
75	1533	8554
76	1558	8561
77	1583	8565
78	1605	8556
79	1627	8541
80	1649	8530
81	1668	8507
82	1691	8500
83	1714	8489
84	1737	8481
85	1761	8477
86	1781	8459
87	1806	8458
88	1827	8439
89	1849	8425
90	1873	8420
91	1897	8415
92	1920	8406
93	1941	8385
94	1966	8382
95	1989	8373
96	2014	8367
97	2036	8355
98	2061	8349
99	2084	8339
100	2108	8331
101	2131	8315
102	2153	8300
103	2178	8295
104	2201	8282
105	2224	8268
106	2248	8257
107	2270	8242
108	2293	8227
109	2316	8213
110	2339	8199
111	2363	8188
112	2385	8169
113	2407	8153
114	2432	8143
115	2454	8126
116	2477	8110
117	2499	8091
118	2523	8079
119	2548	8069
120	2571	8055
121	2594	8037
122	2617	8021
123	2641	8009
124	2663	7991
125	2686	7974
126	2710	7961
127	2734	7947
128	2756	7928
129	2772	7889
130	2797	7878
131	2821	7865
132	2845	7850
133	2868	7836
134	2891	7818
135	2915	7803
136	2937	7782
137	2961	7767
138	2983	7749
139	3008	7735
140	3030	7716
141	3054	7700
142	3076	7681
143	3100	7665
144	3123	7647
145	3145	7626
146	3168	7608
147	3190	7588
148	3214	7571
149	3238	7555
150	3262	7540
151	3284	7519
152	3306	7499
153	3330	7482
154	3355	7468
155	3377	7448
156	3400	7429
157	3423	7411
158	3447	7394
159	3470	7375
160	3493	7356
161	3516	7336
162	3539	7316
163	3562	7298
164	3585	7278
165	3608	7261
166	3633	7244
167	3656	7225
